Target Recipe,Search Query,Selected File,Commons URL,License,Creator,Dimensions,Download Status
Paneer Butter Masala,Paneer Butter Masala,File:Paneer Butter Masala 2.jpg,https://commons.wikimedia.org/wiki/File:Paneer_Butter_Masala_2.jpg,CC BY-SA 4.0,Gannu03,12240x16320,SUCCESS
Kadai Paneer,Kadai Paneer,File:Dumba Karahi 20200627.jpg,https://commons.wikimedia.org/wiki/File:Dumba_Karahi_20200627.jpg,CC BY-SA 4.0,Shahzaib Damn Cruze,3024x4032,SUCCESS
Palak Paneer,Palak Paneer,File:Palak Paneer (53569672035).jpg,https://commons.wikimedia.org/wiki/File:Palak_Paneer_(53569672035).jpg,CC BY 2.0,Kanesue,3024x3024,SUCCESS
Shahi Paneer,Shahi Paneer,File:Naan shahi paneer.jpg,https://commons.wikimedia.org/wiki/File:Naan_shahi_paneer.jpg,CC BY-SA 4.0,Realanant 1995,3000x4000,SUCCESS
Paneer Tikka,Paneer Tikka,"File:Malai Paneer Tikka, PK 007.jpg","https://commons.wikimedia.org/wiki/File:Malai_Paneer_Tikka,_PK_007.jpg",CC BY-SA 4.0,PallaviKhale,843x1124,SUCCESS
Paneer Bhurji,Paneer Bhurji,"File:Aloo Parantha,Dal Makhani,Bhindi Dry,Paneer Burji.jpg","https://commons.wikimedia.org/wiki/File:Aloo_Parantha,Dal_Makhani,Bhindi_Dry,Paneer_Burji.jpg",CC BY-SA 4.0,VarshaUpadhya,2448x2448,SUCCESS
Butter Chicken,Butter Chicken,"File:Butter Chicken, City Grill Kottayam.jpg","https://commons.wikimedia.org/wiki/File:Butter_Chicken,_City_Grill_Kottayam.jpg",CC BY-SA 4.0,Vis M,9248x6936,SUCCESS
Chicken Curry,Indian Chicken Curry,File:Butter chicken curry of Origin Bento.jpg,https://commons.wikimedia.org/wiki/File:Butter_chicken_curry_of_Origin_Bento.jpg,CC0,毒島みるく,2293x2191,SUCCESS
Chicken Tikka,Chicken Tikka,File:Chicken-Tikka.jpg,https://commons.wikimedia.org/wiki/File:Chicken-Tikka.jpg,CC BY-SA 4.0,Minaxibose1992,1995x1200,SUCCESS
Chicken Tikka Masala,Chicken Tikka Masala,File:Chicken Tikka Masala - Mohammed - Spice Of Life.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Tikka_Masala_-_Mohammed_-_Spice_Of_Life.jpg,CC0,Andy Li,4032x3024,SUCCESS
Chicken Biryani,Chicken Biryani,File:A home made plate of mutton biryani served with chicken kassa cooked in the bengali style.jpg,https://commons.wikimedia.org/wiki/File:A_home_made_plate_of_mutton_biryani_served_with_chicken_kassa_cooked_in_the_bengali_style.jpg,CC BY-SA 4.0,Subhrajyoti07,4718x3517,SUCCESS
Mutton Biryani,Mutton Biryani,File:Biryani Home.jpg,https://commons.wikimedia.org/wiki/File:Biryani_Home.jpg,CC BY-SA 4.0,Shyamveer.singh1982,1600x1200,SUCCESS
Vegetable Biryani,Veg Biryani,File:Veg Sahi Biryani Recipe.jpg,https://commons.wikimedia.org/wiki/File:Veg_Sahi_Biryani_Recipe.jpg,CC BY-SA 3.0,Katharva,3264x2448,SUCCESS
Egg Biryani,Egg Biryani,File:Egg Biryani.JPG,https://commons.wikimedia.org/wiki/File:Egg_Biryani.JPG,CC BY-SA 4.0,Siya Bedi,640x478,SUCCESS
Mutton Curry,Mutton Curry,File:Mutton Curry (44786).jpg,https://commons.wikimedia.org/wiki/File:Mutton_Curry_(44786).jpg,CC BY-SA 3.0,Gaurav Dhwaj Khadka,3072x4096,SUCCESS
Fish Curry,Fish Curry Indian,File:Alappy Fish Curry.JPG,https://commons.wikimedia.org/wiki/File:Alappy_Fish_Curry.JPG,CC BY-SA 4.0,Amalsatheesha,4608x3456,SUCCESS
Prawn Curry,Prawn Curry,File:Bangladeshi Prawn Curry.jpg,https://commons.wikimedia.org/wiki/File:Bangladeshi_Prawn_Curry.jpg,CC BY-SA 4.0,Jubair1985,5184x3456,SUCCESS
Egg Curry,Egg Curry,File:Egg Curry 4.jpg,https://commons.wikimedia.org/wiki/File:Egg_Curry_4.jpg,CC BY-SA 4.0,Gaurav Dhwaj Khadka,3024x4032,SUCCESS
Dal Tadka,Dal Tadka,"File:Dal Fry Tadka, Cumin Rice, Roasted Papad on the side.jpg","https://commons.wikimedia.org/wiki/File:Dal_Fry_Tadka,_Cumin_Rice,_Roasted_Papad_on_the_side.jpg",CC BY-SA 4.0,Monali.mishra,1944x1944,SUCCESS
Dal Makhani,Dal Makhani,File:Creamy Lentils (Dal Makhani) (2239000538).jpg,https://commons.wikimedia.org/wiki/File:Creamy_Lentils_(Dal_Makhani)_(2239000538).jpg,CC BY 2.0,rovingI,1560x1460,SUCCESS
Chana Masala,Chana Masala,File:Chana Ko Tarkari.jpg,https://commons.wikimedia.org/wiki/File:Chana_Ko_Tarkari.jpg,CC BY-SA 4.0,Gaurav Dhwaj Khadka,3024x4032,SUCCESS
Rajma,Rajma Masala,File:Brinjal rajma masala.JPG,https://commons.wikimedia.org/wiki/File:Brinjal_rajma_masala.JPG,CC BY-SA 4.0,Nithyasrm,2048x1360,SUCCESS
Aloo Gobi,Aloo Gobi,File:Aloo Gobi Matar (49653225183).jpg,https://commons.wikimedia.org/wiki/File:Aloo_Gobi_Matar_(49653225183).jpg,CC BY-SA 2.0,やましこ,8212x5475,SUCCESS
Aloo Matar,Aloo Matar,File:Aalu Matar Curry.jpg,https://commons.wikimedia.org/wiki/File:Aalu_Matar_Curry.jpg,CC BY-SA 4.0,Gaurav Dhwaj Khadka,3024x4032,SUCCESS
Bhindi Masala,Bhindi Masala,File:Bharvan Bhindi or Masala Bhindi.jpg,https://commons.wikimedia.org/wiki/File:Bharvan_Bhindi_or_Masala_Bhindi.jpg,CC BY-SA 4.0,Vilalali,3556x2166,SUCCESS
Baingan Bharta,Baingan Bharta,File:2025-04-07 - Baingan bharta.jpg,https://commons.wikimedia.org/wiki/File:2025-04-07_-_Baingan_bharta.jpg,CC BY-SA 4.0,Voltmetro,6000x8000,SUCCESS
Mix Vegetable Curry,Mix Veg Curry,File:Dinner (non-veg) on Sealdah Rajdhani.jpg,https://commons.wikimedia.org/wiki/File:Dinner_(non-veg)_on_Sealdah_Rajdhani.jpg,CC BY-SA 4.0,ImSonyR9,3120x4160,SUCCESS
Malai Kofta,Malai Kofta,File:Kofta Curry (cropped).JPG,https://commons.wikimedia.org/wiki/File:Kofta_Curry_(cropped).JPG,CC0,Miansari66,1621x1462,SUCCESS
Kofta Curry,Kofta Curry,File:Hara chicken kofta curry.jpg,https://commons.wikimedia.org/wiki/File:Hara_chicken_kofta_curry.jpg,CC BY-SA 4.0,Hrishikes,720x540,SUCCESS
Kadhi,Kadhi Pakora,File:Indian dish - Kadhi Chawal.jpg,https://commons.wikimedia.org/wiki/File:Indian_dish_-_Kadhi_Chawal.jpg,CC BY-SA 4.0,Neha Sonal,1280x960,SUCCESS
Jeera Rice,Jeera Rice,File:Jeera-rice.JPG,https://commons.wikimedia.org/wiki/File:Jeera-rice.JPG,CC BY-SA 2.0,Sonia Goyal,3072x1728,SUCCESS
Lemon Rice,Lemon Rice South Indian,File:Indian cuisine from South india.jpg,https://commons.wikimedia.org/wiki/File:Indian_cuisine_from_South_india.jpg,CC BY-SA 4.0,Rajatsingh8808,4000x3000,SUCCESS
Curd Rice,Curd Rice,File:Curd Rice.jpg,https://commons.wikimedia.org/wiki/File:Curd_Rice.jpg,CC BY-SA 4.0,Sudharshan Shanmugasundaram,3309x2507,SUCCESS
Tomato Rice,Tomato Rice Indian,File:Cherry tomato curry.jpg,https://commons.wikimedia.org/wiki/File:Cherry_tomato_curry.jpg,CC BY-SA 4.0,Jessanhad11,4032x3024,SUCCESS
Vegetable Pulao,Veg Pulao,File:Veg Pulao (Indian fried rice).jpg,https://commons.wikimedia.org/wiki/File:Veg_Pulao_(Indian_fried_rice).jpg,CC BY-SA 4.0,Sumit Surai,1000x633,SUCCESS
Chicken Pulao,Chicken Pulao,File:Bihari Style Pudina Chicken Pulao with Raita and Sabudana Cutlet.jpg,https://commons.wikimedia.org/wiki/File:Bihari_Style_Pudina_Chicken_Pulao_with_Raita_and_Sabudana_Cutlet.jpg,CC BY-SA 4.0,Vidurmayor,1280x853,SUCCESS
Khichdi,Khichdi,File:Bangladeshi Chicken khichuri.jpg,https://commons.wikimedia.org/wiki/File:Bangladeshi_Chicken_khichuri.jpg,CC BY 4.0,Xkalponik,2448x3264,SUCCESS
Pongal,Ven Pongal,File:Aesthetic Ven Pongal.jpg,https://commons.wikimedia.org/wiki/File:Aesthetic_Ven_Pongal.jpg,CC BY-SA 4.0,Thamizhpparithi Maari,4208x2368,SUCCESS
Fried Rice,Veg Fried Rice Indian,File:Fried rice (veg).JPG,https://commons.wikimedia.org/wiki/File:Fried_rice_(veg).JPG,CC BY-SA 4.0,Bhaskaranaidu,3291x2592,SUCCESS
