Target Recipe,Status,Match Type,Resolved Image,Canonical Name
Paneer Butter Masala,MATCHED,exact,paneer-butter-masala.webp,Paneer Butter Masala
Kadai Paneer,MATCHED,category,palak-paneer.webp,Palak Paneer
Palak Paneer,MATCHED,exact,palak-paneer.webp,Palak Paneer
Shahi Paneer,MATCHED,exact,shahi-paneer.webp,Shahi Paneer
Paneer Tikka,MATCHED,category,chicken-tikka-masala.webp,Chicken Tikka Masala
Paneer Bhurji,MATCHED,category,palak-paneer.webp,Palak Paneer
Butter Chicken,MATCHED,category,chicken-biryani.webp,Chicken Biryani
Chicken Curry,MATCHED,exact,chicken-curry.webp,Chicken Curry
Chicken Tikka,MATCHED,exact,chicken-tikka.webp,Chicken Tikka
Chicken Tikka Masala,MATCHED,exact,chicken-tikka-masala.webp,Chicken Tikka Masala
Chicken Biryani,MATCHED,exact,chicken-biryani.webp,Chicken Biryani
Mutton Biryani,MATCHED,exact,mutton-biryani.webp,Mutton Biryani
Vegetable Biryani,MATCHED,exact,vegetable-biryani.webp,Vegetable Biryani
Egg Biryani,MATCHED,exact,egg-biryani.webp,Egg Biryani
Mutton Curry,MATCHED,exact,mutton-curry.webp,Mutton Curry
Fish Curry,MATCHED,exact,fish-curry.webp,Fish Curry
Prawn Curry,MATCHED,exact,prawn-curry.webp,Prawn Curry
Egg Curry,MATCHED,exact,egg-curry.jpg,Egg Curry
Dal Tadka,MATCHED,category,dal-makhani.webp,Dal Makhani
Dal Makhani,MATCHED,exact,dal-makhani.webp,Dal Makhani
Chana Masala,MATCHED,exact,chana-masala.webp,Chana Masala
Rajma,MATCHED,exact,rajma.webp,Rajma
Aloo Gobi,MATCHED,exact,aloo-gobi.webp,Aloo Gobi
Aloo Matar,MATCHED,exact,aloo-matar.webp,Aloo Matar
Bhindi Masala,MATCHED,exact,bhindi-masala.webp,Bhindi Masala
Baingan Bharta,MATCHED,exact,baingan-bharta.webp,Baingan Bharta
Mix Vegetable Curry,MATCHED,category,chicken-curry.webp,Chicken Curry
Malai Kofta,MATCHED,exact,malai-kofta.webp,Malai Kofta
Kofta Curry,MATCHED,exact,kofta-curry.webp,Kofta Curry
Kadhi,MATCHED,exact,kadhi.webp,Kadhi
Jeera Rice,MATCHED,exact,jeera-rice.webp,Jeera Rice
Lemon Rice,MATCHED,category,curd-rice.webp,Curd Rice
Curd Rice,MATCHED,exact,curd-rice.webp,Curd Rice
Tomato Rice,MATCHED,exact,tomato-rice.webp,Tomato Rice
Vegetable Pulao,MATCHED,exact,vegetable-pulao.webp,Vegetable Pulao
Chicken Pulao,MATCHED,exact,chicken-pulao.webp,Chicken Pulao
Khichdi,FALLBACK,default_fallback,default-food.webp,Default Fallback
Pongal,MATCHED,exact,pongal.webp,Pongal
Fried Rice,MATCHED,exact,fried-rice.webp,Fried Rice
Chicken Fried Rice,MATCHED,exact,chicken-fried-rice.webp,Chicken Fried Rice
Masala Dosa,MATCHED,exact,masala-dosa.webp,Masala Dosa
Plain Dosa,MATCHED,exact,plain-dosa.webp,Plain Dosa
